recording,object,mass,result,line_pair_1,line_pair_2,line_pair_3,line_pair_4,line_pair_5
1,small,18,pass,110.3203264,135.8243642,177.8092213,131.5357984,137.7570604
2,small,18,pass,105.3655885,131.3586791,148.4417744,141.4772627,134.106593
3,small,18,pass,105.3375149,131.5010012,161.2619837,141.5123032,134.8575444
10,small,32,pass,106.946016,130.8845984,179.5060831,144.2110265,133.9190758
11,small,32,pass,100.882329,137.3092335,178.4002755,147.7429469,133.5202517
12,small,32,pass,113.7529293,147.8732672,176.6261878,122.4340596,133.1688627
19,small,49,pass,113.6575877,145.9968439,179.545609,122.4990718,131.7979794
20,small,49,pass,106.8438086,133.3206523,179.263071,143.1642416,134.758629
21,small,49,pass,111.2149578,141.8359166,177.3735944,130.8553763,131.4778195
34,small,60,pass,102.9946168,132.2475146,178.2986953,146.3560272,137.1025721
35,small,60,fail,106.8974828,133.9534733,176.1548928,142.585633,135.8782863
36,small,60,pass,100.5496116,130.4788365,176.350188,141.5819447,133.4518423
40,small,63,fail,98.36332676,139.9612045,176.570978,147.3110724,135.2177354
41,small,63,pass,116.5650512,152.3837681,175.3405876,118.6011448,131.5072608
44,small,63,pass,104.7967622,153.4349488,176.2218023,127.4682652,136.1059588
49,small,65,fail,108.679279,152.9817015,166.6343661,130.9482837,136.7198313
50,small,65,fail,109.7386438,154.7115768,163.5526514,133.8908012,136.0690617
51,small,65,fail,111.4405591,157.2288491,162.6857693,131.1219835,134.8128615
4,medium,18,pass,110.2202893,134.6328551,157.8284477,137.0382483,129.8740431
5,medium,18,pass,109.5070398,133.9080325,154.7329608,135.7424809,132.1752717
6,medium,18,pass,108.0795983,134.6602217,161.3911471,136.0574683,131.9174737
13,medium,32,fail,104.7632487,140.7927965,178.9488193,143.5540234,128.6966615
14,medium,32,pass,111.8981928,150.1952485,176.7602997,125.9421119,123.8872347
15,medium,32,pass,111.2457382,150.2524931,177.8600323,125.9302548,124.0491589
22,medium,49,pass,105.1527643,139.2073895,177.2621064,137.217064,132.8919047
23,medium,49,pass,110.2531514,143.0945686,176.7057338,130.2788856,130.9253848
24,medium,49,fail,115.3535385,146.9817478,176.1493612,123.3407073,128.9588649
31,medium,60,fail,105.4849383,140.1986761,174.041003,147.7850343,130.9941352
32,medium,60,pass,112.4012725,151.2201937,177.8141992,124.2305777,127.5100473
33,medium,60,pass,107.405794,138.0403111,176.7170133,139.6639276,130.9513339
37,medium,63,fail,107.5474193,138.9738055,177.8049478,139.5221835,130.7519745
38,medium,63,fail,107.6890447,139.9072998,178.8928823,139.3804394,130.5526151
39,medium,63,fail,111.1899344,153.2747809,177.8983457,126.6341139,129.0656087
7,large,18,pass,109.8695174,145.7144896,154.6248491,131.6512621,127.2746569
8,large,18,pass,111.0576509,141.7334146,156.221015,112.754147,96.25688344
9,large,18,pass,109.1142343,142.94721,156.3205213,131.9364344,126.5401779
16,large,32,pass,111.0391393,141.131366,175.7623484,131.7530908,127.5944074
17,large,32,pass,111.8639049,164.310473,177.3847426,119.7157676,122.855722
18,large,32,pass,107.8022785,144.6353013,175.718673,133.0769693,125.6774303
25,large,49,pass,113.0076477,139.781612,174.5185745,130.0658357,128.990994
26,large,49,pass,110.412454,140.028595,174.6157993,132.512593,127.9117936
27,large,49,pass,110.1653242,140.7460832,175.1634939,132.3245733,128.0189426
28,large,60,fail,117.954533,143.3929252,171.6341139,137.0256944,135.6295986
29,large,60,fail,110.7590938,145.2914481,179.9213187,133.9634577,130.5175289
30,large,60,fail,110.5707349,147.6329547,177.2768709,134.2809138,128.6598083
